video,ground_truth,our_prediction,crowdkit_prediction,our_correct,crowdkit_correct
074.mp4,pumping fist,squat,abseiling,False,False
075.mp4,pole vault,pole vault,abseiling,True,False
076.mp4,hurdling,pole vault,hurdling,False,True
077.mp4,spray painting,applying cream,spray painting,False,True
078.mp4,unloading truck,applauding,unloading truck,False,True
079.mp4,changing wheel,changing wheel,abseiling,True,False
080.mp4,squat,squat,abseiling,True,False
081.mp4,tango dancing,applauding,tango dancing,False,True
082.mp4,dunking basketball,applauding,dunking basketball,False,True
083.mp4,dunking basketball,dunking basketball,abseiling,True,False
085.mp4,unloading truck,unloading truck,abseiling,True,False
089.mp4,playing badminton,playing badminton,abseiling,True,False
090.mp4,skateboarding,skateboarding,abseiling,True,False
094.mp4,making snowman,making snowman,abseiling,True,False
095.mp4,pole vault,pole vault,abseiling,True,False
097.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
099.mp4,capoeira,capoeira,abseiling,True,False
1000.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
101.mp4,skateboarding,skateboarding,abseiling,True,False
102.mp4,playing badminton,playing badminton,abseiling,True,False
103.mp4,swinging legs,swinging legs,abseiling,True,False
105.mp4,squat,squat,abseiling,True,False
106.mp4,skateboarding,skateboarding,abseiling,True,False
107.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
110.mp4,squat,applying cream,squat,False,True
111.mp4,riding elephant,riding elephant,abseiling,True,False
113.mp4,riding elephant,riding elephant,abseiling,True,False
114.mp4,balloon blowing,balloon blowing,abseiling,True,False
115.mp4,spray painting,applying cream,spray painting,False,True
116.mp4,changing wheel,applying cream,changing wheel,False,True
117.mp4,dunking basketball,applauding,dunking basketball,False,True
118.mp4,making snowman,applauding,making snowman,False,True
119.mp4,unloading truck,unloading truck,abseiling,True,False
120.mp4,shuffling cards,shuffling cards,abseiling,True,False
121.mp4,laughing,laughing,abseiling,True,False
122.mp4,bench pressing,bench pressing,abseiling,True,False
123.mp4,pushing wheelchair,pushing wheelchair,abseiling,True,False
124.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
127.mp4,pole vault,pole vault,abseiling,True,False
128.mp4,playing trombone,applauding,playing trombone,False,True
129.mp4,riding elephant,riding elephant,abseiling,True,False
130.mp4,dancing ballet,lunge,abseiling,False,False
131.mp4,pumping fist,pumping fist,abseiling,True,False
132.mp4,playing trombone,applauding,playing trombone,False,True
133.mp4,laying bricks,trimming or shaving beard,abseiling,False,False
135.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
137.mp4,spray painting,spray painting,abseiling,True,False
138.mp4,playing badminton,playing badminton,abseiling,True,False
139.mp4,blasting sand,blasting sand,abseiling,True,False
140.mp4,snorkeling,abseiling,snorkeling,False,True
141.mp4,plastering,applying cream,plastering,False,True
143.mp4,playing trombone,applauding,playing trombone,False,True
144.mp4,skateboarding,skateboarding,abseiling,True,False
145.mp4,tying bow tie,trimming or shaving beard,abseiling,False,False
146.mp4,squat,squat,abseiling,True,False
148.mp4,waiting in line,waiting in line,abseiling,True,False
149.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
151.mp4,pole vault,pole vault,abseiling,True,False
152.mp4,making snowman,applauding,making snowman,False,True
154.mp4,playing badminton,playing badminton,applauding,True,False
156.mp4,bandaging,applying cream,bandaging,False,True
157.mp4,making snowman,applauding,making snowman,False,True
158.mp4,pumping fist,pumping fist,abseiling,True,False
159.mp4,playing trombone,applauding,playing trombone,False,True
161.mp4,dancing charleston,jogging,abseiling,False,False
162.mp4,playing badminton,playing badminton,abseiling,True,False
164.mp4,balloon blowing,balloon blowing,abseiling,True,False
165.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
166.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
168.mp4,balloon blowing,balloon blowing,abseiling,True,False
169.mp4,ripping paper,ripping paper,abseiling,True,False
170.mp4,dancing charleston,lunge,abseiling,False,False
171.mp4,shuffling cards,shuffling cards,abseiling,True,False
172.mp4,squat,squat,abseiling,True,False
173.mp4,riding unicycle,riding unicycle,abseiling,True,False
174.mp4,driving car,driving car,abseiling,True,False
175.mp4,javelin throw,applauding,javelin throw,False,True
177.mp4,spray painting,applying cream,spray painting,False,True
178.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
179.mp4,plastering,plastering,abseiling,True,False
180.mp4,pole vault,pole vault,abseiling,True,False
181.mp4,doing nails,doing nails,abseiling,True,False
183.mp4,bench pressing,applying cream,bench pressing,False,True
184.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
185.mp4,dancing charleston,applauding,dancing charleston,False,True
189.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
190.mp4,bench pressing,bench pressing,abseiling,True,False
191.mp4,balloon blowing,balloon blowing,abseiling,True,False
192.mp4,laughing,laughing,abseiling,True,False
195.mp4,capoeira,capoeira,abseiling,True,False
196.mp4,spray painting,applying cream,spray painting,False,True
197.mp4,javelin throw,applauding,pole vault,False,False
198.mp4,bandaging,applying cream,bandaging,False,True
200.mp4,pole vault,pole vault,abseiling,True,False
201.mp4,bench pressing,bench pressing,abseiling,True,False
202.mp4,blasting sand,blasting sand,abseiling,True,False
204.mp4,vault,applauding,vault,False,True
206.mp4,bandaging,applying cream,bandaging,False,True
207.mp4,changing wheel,changing wheel,abseiling,True,False
209.mp4,skateboarding,skateboarding,abseiling,True,False
210.mp4,bandaging,applying cream,bandaging,False,True
211.mp4,bandaging,applying cream,bandaging,False,True
212.mp4,laying bricks,trimming or shaving beard,abseiling,False,False
214.mp4,dunking basketball,dunking basketball,abseiling,True,False
215.mp4,balloon blowing,balloon blowing,abseiling,True,False
216.mp4,playing badminton,playing badminton,abseiling,True,False
217.mp4,blasting sand,spray painting,abseiling,False,False
220.mp4,tying bow tie,trimming or shaving beard,abseiling,False,False
221.mp4,bench pressing,bench pressing,abseiling,True,False
222.mp4,moving furniture,moving furniture,abseiling,True,False
223.mp4,playing trombone,applauding,playing trombone,False,True
224.mp4,juggling soccer ball,juggling soccer ball,abseiling,True,False
225.mp4,capoeira,capoeira,abseiling,True,False
227.mp4,snorkeling,abseiling,snorkeling,False,True
229.mp4,pumping fist,pumping fist,abseiling,True,False
232.mp4,squat,squat,abseiling,True,False
233.mp4,swinging legs,swinging legs,abseiling,True,False
235.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
237.mp4,spray painting,spray painting,abseiling,True,False
238.mp4,waiting in line,applauding,waiting in line,False,True
239.mp4,tango dancing,applauding,tango dancing,False,True
240.mp4,hurdling,pole vault,abseiling,False,False
241.mp4,bench pressing,bench pressing,abseiling,True,False
242.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
243.mp4,vault,vault,abseiling,True,False
245.mp4,making snowman,making snowman,abseiling,True,False
246.mp4,waiting in line,waiting in line,abseiling,True,False
247.mp4,playing keyboard,playing keyboard,abseiling,True,False
248.mp4,squat,squat,abseiling,True,False
249.mp4,laughing,swinging legs,abseiling,False,False
250.mp4,pole vault,pole vault,abseiling,True,False
252.mp4,skateboarding,skateboarding,abseiling,True,False
253.mp4,playing badminton,playing badminton,abseiling,True,False
254.mp4,riding unicycle,riding unicycle,abseiling,True,False
256.mp4,changing oil,changing oil,abseiling,True,False
257.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
258.mp4,riding unicycle,riding unicycle,abseiling,True,False
259.mp4,lunge,lunge,abseiling,True,False
260.mp4,pushing wheelchair,tango dancing,abseiling,False,False
261.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
264.mp4,pole vault,pole vault,abseiling,True,False
265.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
266.mp4,riding unicycle,riding unicycle,abseiling,True,False
267.mp4,balloon blowing,balloon blowing,abseiling,True,False
268.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
269.mp4,waiting in line,waiting in line,abseiling,True,False
270.mp4,driving car,driving car,abseiling,True,False
271.mp4,pole vault,vault,abseiling,False,False
273.mp4,playing badminton,playing badminton,abseiling,True,False
274.mp4,moving furniture,moving furniture,abseiling,True,False
275.mp4,riding elephant,riding elephant,abseiling,True,False
276.mp4,applying cream,trimming or shaving beard,abseiling,False,False
277.mp4,feeding goats,feeding goats,abseiling,True,False
278.mp4,dunking basketball,dunking basketball,abseiling,True,False
279.mp4,tango dancing,applauding,tango dancing,False,True
280.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
281.mp4,sharpening knives,sharpening knives,abseiling,True,False
284.mp4,balloon blowing,balloon blowing,abseiling,True,False
286.mp4,balloon blowing,balloon blowing,abseiling,True,False
287.mp4,dancing charleston,dancing charleston,abseiling,True,False
290.mp4,making snowman,applauding,making snowman,False,True
294.mp4,tango dancing,applauding,tango dancing,False,True
295.mp4,riding unicycle,riding unicycle,abseiling,True,False
296.mp4,playing badminton,playing badminton,abseiling,True,False
298.mp4,dancing macarena,applauding,ERROR,False,False
299.mp4,laying bricks,trimming or shaving beard,abseiling,False,False
300.mp4,sign language interpreting,applauding,sign language interpreting,False,True
301.mp4,pumping fist,pumping fist,abseiling,True,False
302.mp4,dancing macarena,laughing,abseiling,False,False
303.mp4,sharpening knives,sharpening knives,abseiling,True,False
304.mp4,hurdling,pole vault,abseiling,False,False
305.mp4,squat,snatch weight lifting,abseiling,False,False
306.mp4,dancing ballet,dancing ballet,abseiling,True,False
308.mp4,hurdling,pole vault,abseiling,False,False
311.mp4,pole vault,pole vault,abseiling,True,False
312.mp4,spray painting,spray painting,abseiling,True,False
313.mp4,pole vault,vault,abseiling,False,False
314.mp4,feeding goats,feeding goats,abseiling,True,False
315.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
316.mp4,playing badminton,playing badminton,abseiling,True,False
317.mp4,dancing ballet,applauding,tango dancing,False,False
318.mp4,bench pressing,bench pressing,abseiling,True,False
320.mp4,tango dancing,applauding,tango dancing,False,True
321.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
322.mp4,shuffling cards,shuffling cards,abseiling,True,False
324.mp4,waiting in line,waiting in line,abseiling,True,False
328.mp4,playing trombone,applauding,playing trombone,False,True
329.mp4,squat,squat,abseiling,True,False
330.mp4,pumping fist,pumping fist,abseiling,True,False
331.mp4,playing trombone,playing trombone,abseiling,True,False
333.mp4,vault,vault,abseiling,True,False
334.mp4,playing badminton,playing badminton,abseiling,True,False
335.mp4,lunge,lunge,abseiling,True,False
336.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
339.mp4,pole vault,pole vault,abseiling,True,False
340.mp4,changing oil,changing oil,abseiling,True,False
343.mp4,doing nails,doing nails,abseiling,True,False
344.mp4,driving car,driving car,abseiling,True,False
350.mp4,applauding,pole vault,abseiling,False,False
352.mp4,spray painting,applying cream,spray painting,False,True
354.mp4,javelin throw,pole vault,abseiling,False,False
355.mp4,skateboarding,skateboarding,abseiling,True,False
357.mp4,balloon blowing,balloon blowing,abseiling,True,False
358.mp4,pole vault,applauding,pole vault,False,True
359.mp4,playing badminton,playing badminton,abseiling,True,False
360.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
361.mp4,squat,lunge,abseiling,False,False
362.mp4,driving car,driving car,abseiling,True,False
363.mp4,playing trombone,applauding,playing trombone,False,True
364.mp4,javelin throw,javelin throw,abseiling,True,False
365.mp4,hurdling,pole vault,abseiling,False,False
366.mp4,lunge,lunge,abseiling,True,False
367.mp4,javelin throw,applauding,javelin throw,False,True
368.mp4,tying bow tie,applying cream,tying bow tie,False,True
370.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
373.mp4,hurdling,pole vault,abseiling,False,False
374.mp4,balloon blowing,balloon blowing,abseiling,True,False
375.mp4,playing xylophone,playing xylophone,abseiling,True,False
376.mp4,capoeira,capoeira,abseiling,True,False
377.mp4,making snowman,applauding,making snowman,False,True
378.mp4,moving furniture,applying cream,moving furniture,False,True
379.mp4,vault,vault,abseiling,True,False
380.mp4,bench pressing,bench pressing,abseiling,True,False
382.mp4,playing xylophone,playing xylophone,abseiling,True,False
387.mp4,javelin throw,javelin throw,abseiling,True,False
392.mp4,feeding goats,feeding goats,abseiling,True,False
393.mp4,juggling soccer ball,juggling soccer ball,abseiling,True,False
395.mp4,dunking basketball,dunking basketball,abseiling,True,False
396.mp4,javelin throw,applauding,javelin throw,False,True
398.mp4,bandaging,applying cream,bandaging,False,True
399.mp4,pumping fist,applauding,pumping fist,False,True
400.mp4,baby waking up,baby waking up,abseiling,True,False
401.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
402.mp4,fixing hair,fixing hair,abseiling,True,False
404.mp4,playing trombone,applauding,playing trombone,False,True
407.mp4,snorkeling,abseiling,snorkeling,False,True
410.mp4,capoeira,capoeira,abseiling,True,False
413.mp4,laying bricks,trimming or shaving beard,laying bricks,False,True
414.mp4,riding unicycle,riding unicycle,abseiling,True,False
415.mp4,dunking basketball,dunking basketball,abseiling,True,False
416.mp4,fixing hair,fixing hair,abseiling,True,False
417.mp4,feeding goats,feeding goats,abseiling,True,False
419.mp4,applauding,swinging legs,abseiling,False,False
420.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
422.mp4,javelin throw,javelin throw,abseiling,True,False
423.mp4,javelin throw,applauding,javelin throw,False,True
424.mp4,swinging legs,swinging legs,abseiling,True,False
425.mp4,dunking basketball,dunking basketball,abseiling,True,False
426.mp4,bench pressing,bench pressing,abseiling,True,False
427.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
428.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
430.mp4,bench pressing,bench pressing,abseiling,True,False
431.mp4,sharpening knives,sharpening knives,abseiling,True,False
433.mp4,laughing,laughing,abseiling,True,False
434.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
436.mp4,pumping fist,pumping fist,abseiling,True,False
437.mp4,pole vault,pole vault,abseiling,True,False
438.mp4,tango dancing,applauding,tango dancing,False,True
439.mp4,squat,squat,abseiling,True,False
440.mp4,playing keyboard,playing keyboard,abseiling,True,False
442.mp4,sharpening knives,sharpening knives,abseiling,True,False
443.mp4,capoeira,capoeira,abseiling,True,False
444.mp4,moving furniture,moving furniture,abseiling,True,False
445.mp4,vault,vault,abseiling,True,False
449.mp4,playing trombone,playing trombone,abseiling,True,False
450.mp4,blasting sand,blasting sand,abseiling,True,False
451.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
452.mp4,bandaging,applying cream,bandaging,False,True
453.mp4,dunking basketball,dunking basketball,abseiling,True,False
454.mp4,vault,vault,abseiling,True,False
457.mp4,fixing hair,fixing hair,abseiling,True,False
460.mp4,riding unicycle,riding unicycle,abseiling,True,False
462.mp4,playing xylophone,playing xylophone,abseiling,True,False
463.mp4,hurdling,pole vault,abseiling,False,False
464.mp4,vault,vault,abseiling,True,False
465.mp4,tango dancing,applauding,tango dancing,False,True
466.mp4,blasting sand,blasting sand,abseiling,True,False
467.mp4,dunking basketball,dunking basketball,abseiling,True,False
468.mp4,playing badminton,playing badminton,applauding,True,False
469.mp4,dancing ballet,dancing ballet,abseiling,True,False
471.mp4,skateboarding,skateboarding,abseiling,True,False
475.mp4,tango dancing,applauding,tango dancing,False,True
476.mp4,playing xylophone,playing xylophone,abseiling,True,False
477.mp4,vault,vault,abseiling,True,False
478.mp4,vault,vault,abseiling,True,False
479.mp4,tango dancing,swinging legs,abseiling,False,False
480.mp4,spray painting,applying cream,spray painting,False,True
481.mp4,snorkeling,abseiling,snorkeling,False,True
482.mp4,changing wheel,applying cream,changing wheel,False,True
483.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
485.mp4,feeding goats,feeding goats,abseiling,True,False
486.mp4,playing trombone,applauding,playing trombone,False,True
487.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
488.mp4,changing oil,changing oil,abseiling,True,False
489.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
490.mp4,doing nails,doing nails,abseiling,True,False
491.mp4,cooking on campfire,cooking on campfire,abseiling,True,False
494.mp4,ripping paper,ripping paper,abseiling,True,False
495.mp4,moving furniture,lunge,abseiling,False,False
496.mp4,playing xylophone,playing xylophone,abseiling,True,False
498.mp4,playing trombone,applauding,playing trombone,False,True
499.mp4,capoeira,capoeira,abseiling,True,False
500.mp4,playing trombone,applauding,playing trombone,False,True
504.mp4,cooking on campfire,cooking on campfire,abseiling,True,False
505.mp4,blasting sand,blasting sand,abseiling,True,False
507.mp4,ripping paper,applauding,ripping paper,False,True
508.mp4,javelin throw,applauding,javelin throw,False,True
509.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
512.mp4,lunge,lunge,abseiling,True,False
513.mp4,dancing ballet,dancing ballet,abseiling,True,False
514.mp4,riding elephant,riding elephant,abseiling,True,False
515.mp4,skateboarding,applauding,skateboarding,False,True
516.mp4,squat,lunge,abseiling,False,False
517.mp4,dunking basketball,dunking basketball,abseiling,True,False
518.mp4,changing oil,changing oil,abseiling,True,False
520.mp4,changing oil,changing oil,abseiling,True,False
521.mp4,dunking basketball,dunking basketball,abseiling,True,False
522.mp4,dancing macarena,applauding,pumping fist,False,False
523.mp4,unloading truck,unloading truck,abseiling,True,False
524.mp4,blasting sand,blasting sand,abseiling,True,False
525.mp4,riding elephant,applauding,riding elephant,False,True
526.mp4,trimming or shaving beard,laughing,abseiling,False,False
527.mp4,squat,squat,abseiling,True,False
528.mp4,pumping fist,pumping fist,abseiling,True,False
529.mp4,dancing macarena,applauding,pumping fist,False,False
531.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
533.mp4,bandaging,applying cream,bandaging,False,True
535.mp4,vault,vault,abseiling,True,False
536.mp4,hurdling,pole vault,abseiling,False,False
537.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
538.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
539.mp4,pumping fist,applauding,pumping fist,False,True
540.mp4,moving furniture,applauding,moving furniture,False,True
542.mp4,making snowman,making snowman,abseiling,True,False
543.mp4,playing keyboard,playing keyboard,abseiling,True,False
545.mp4,riding elephant,riding elephant,abseiling,True,False
546.mp4,bench pressing,bench pressing,abseiling,True,False
547.mp4,pumping fist,baby waking up,abseiling,False,False
549.mp4,making snowman,making snowman,abseiling,True,False
550.mp4,pole vault,pole vault,abseiling,True,False
551.mp4,playing trombone,applauding,playing trombone,False,True
552.mp4,squat,applying cream,squat,False,True
553.mp4,changing wheel,changing wheel,abseiling,True,False
554.mp4,tango dancing,applauding,tango dancing,False,True
555.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
556.mp4,plastering,applying cream,plastering,False,True
557.mp4,changing oil,applying cream,changing oil,False,True
559.mp4,making snowman,applauding,making snowman,False,True
560.mp4,capoeira,capoeira,abseiling,True,False
561.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
562.mp4,balloon blowing,balloon blowing,abseiling,True,False
563.mp4,dancing charleston,applauding,dancing charleston,False,True
565.mp4,riding unicycle,riding unicycle,abseiling,True,False
567.mp4,lunge,lunge,abseiling,True,False
569.mp4,spray painting,applying cream,spray painting,False,True
570.mp4,riding mountain bike,riding mountain bike,abseiling,True,False
571.mp4,trimming or shaving beard,trimming or shaving beard,abseiling,True,False
572.mp4,sign language interpreting,sign language interpreting,abseiling,True,False
573.mp4,balloon blowing,balloon blowing,abseiling,True,False
574.mp4,dunking basketball,dunking basketball,abseiling,True,False
576.mp4,dunking basketball,applauding,dunking basketball,False,True
579.mp4,javelin throw,pole vault,abseiling,False,False
580.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
581.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
583.mp4,hurdling,pole vault,abseiling,False,False
584.mp4,dunking basketball,dunking basketball,abseiling,True,False
585.mp4,riding elephant,riding elephant,abseiling,True,False
586.mp4,playing didgeridoo,applauding,playing didgeridoo,False,True
587.mp4,snorkeling,abseiling,snorkeling,False,True
588.mp4,driving car,driving car,abseiling,True,False
589.mp4,changing oil,changing oil,abseiling,True,False
590.mp4,capoeira,capoeira,abseiling,True,False
591.mp4,skateboarding,skateboarding,abseiling,True,False
592.mp4,playing chess,playing chess,abseiling,True,False
594.mp4,skateboarding,skateboarding,abseiling,True,False
596.mp4,riding elephant,riding elephant,abseiling,True,False
597.mp4,feeding goats,feeding goats,abseiling,True,False
598.mp4,balloon blowing,balloon blowing,abseiling,True,False
599.mp4,applying cream,trimming or shaving beard,abseiling,False,False
600.mp4,spray painting,spray painting,abseiling,True,False
601.mp4,capoeira,capoeira,abseiling,True,False
602.mp4,lunge,lunge,abseiling,True,False
603.mp4,dunking basketball,dunking basketball,abseiling,True,False
604.mp4,laughing,laughing,abseiling,True,False
606.mp4,blasting sand,blasting sand,abseiling,True,False
607.mp4,playing badminton,playing badminton,applauding,True,False
608.mp4,squat,squat,abseiling,True,False
612.mp4,riding elephant,riding elephant,abseiling,True,False
614.mp4,playing xylophone,playing xylophone,abseiling,True,False
615.mp4,blasting sand,blasting sand,abseiling,True,False
616.mp4,javelin throw,javelin throw,abseiling,True,False
617.mp4,feeding goats,feeding goats,abseiling,True,False
619.mp4,jogging,jogging,abseiling,True,False
620.mp4,juggling soccer ball,juggling soccer ball,abseiling,True,False
621.mp4,plastering,plastering,abseiling,True,False
622.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
623.mp4,playing trombone,applauding,playing trombone,False,True
625.mp4,frying vegetables,cooking on campfire,abseiling,False,False
626.mp4,driving car,driving car,abseiling,True,False
627.mp4,dunking basketball,dunking basketball,abseiling,True,False
628.mp4,driving car,driving car,abseiling,True,False
629.mp4,driving car,driving car,abseiling,True,False
630.mp4,riding elephant,riding elephant,abseiling,True,False
631.mp4,dunking basketball,dunking basketball,abseiling,True,False
632.mp4,tango dancing,applauding,tango dancing,False,True
633.mp4,tango dancing,applauding,tango dancing,False,True
634.mp4,skateboarding,skateboarding,abseiling,True,False
635.mp4,snatch weight lifting,snatch weight lifting,abseiling,True,False
636.mp4,riding elephant,riding elephant,abseiling,True,False
637.mp4,bench pressing,bench pressing,abseiling,True,False
638.mp4,spray painting,applying cream,spray painting,False,True
639.mp4,baby waking up,applauding,baby waking up,False,True
641.mp4,skateboarding,skateboarding,abseiling,True,False
642.mp4,dancing charleston,applauding,dancing charleston,False,True
645.mp4,playing badminton,playing badminton,abseiling,True,False
646.mp4,jogging,jogging,abseiling,True,False
647.mp4,laughing,laughing,abseiling,True,False
648.mp4,swinging legs,swinging legs,abseiling,True,False
649.mp4,swinging legs,swinging legs,abseiling,True,False
650.mp4,playing xylophone,playing xylophone,abseiling,True,False
651.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
652.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
654.mp4,riding unicycle,riding unicycle,abseiling,True,False
656.mp4,spray painting,applying cream,spray painting,False,True
657.mp4,playing didgeridoo,playing didgeridoo,abseiling,True,False
659.mp4,spray painting,blasting sand,abseiling,False,False
660.mp4,blasting sand,blasting sand,abseiling,True,False
661.mp4,skateboarding,skateboarding,abseiling,True,False
662.mp4,playing trombone,applauding,playing trombone,False,True
663.mp4,squat,squat,abseiling,True,False
666.mp4,driving car,driving car,abseiling,True,False
667.mp4,feeding goats,feeding goats,abseiling,True,False
670.mp4,sign language interpreting,sign language interpreting,abseiling,True,False
672.mp4,capoeira,capoeira,abseiling,True,False
673.mp4,dancing charleston,dancing charleston,abseiling,True,False
676.mp4,dunking basketball,applauding,dunking basketball,False,True
678.mp4,squat,lunge,abseiling,False,False
679.mp4,lunge,lunge,abseiling,True,False
681.mp4,capoeira,capoeira,abseiling,True,False
682.mp4,dunking basketball,applauding,dunking basketball,False,True
683.mp4,snorkeling,abseiling,snorkeling,False,True
684.mp4,laying bricks,trimming or shaving beard,abseiling,False,False
687.mp4,snorkeling,abseiling,snorkeling,False,True
688.mp4,hurdling,pole vault,abseiling,False,False
689.mp4,canoeing or kayaking,canoeing or kayaking,abseiling,True,False
690.mp4,bandaging,applying cream,bandaging,False,True
691.mp4,squat,squat,abseiling,True,False
692.mp4,riding unicycle,riding unicycle,abseiling,True,False
693.mp4,laying bricks,applying cream,laying bricks,False,True
694.mp4,snorkeling,abseiling,snorkeling,False,True
695.mp4,blasting sand,blasting sand,abseiling,True,False
696.mp4,juggling soccer ball,juggling soccer ball,abseiling,True,False
697.mp4,bench pressing,bench pressing,abseiling,True,False
698.mp4,dancing charleston,dancing macarena,abseiling,False,False
699.mp4,playing badminton,playing badminton,abseiling,True,False
701.mp4,shuffling cards,shuffling cards,abseiling,True,False
703.mp4,playing trombone,applauding,playing trombone,False,True
